'trip_count','average_duration_min'
216452,16.423516530223789544
73674,16.160056464967286871
8881,16.895845062492962362
146942,16.592614773175810682
194581,17.059178439827114459
54622,17.805279923840209299
108778,17.477219658386804468
316182,17.725199410466125904
192061,14.860960840566277418
20327,22.484232793821026241
43638,16.349763967184564705
97095,15.290787373191204068
347001,18.083478145596121322
125029,21.46689967927440712
330388,18.062060365388575178
140629,15.681097071016645294
375953,17.75589235888528794
478225,15.886869151550002676
363061,16.244923029463369523
388236,18.103805417323481918
69361,16.201467683568577804
73436,18.078599052235961863
209797,13.513262820726701374
68618,16.728190853711854657
255116,19.080285046802238468
145691,16.256769464139857461
121089,17.582026443359843881
67034,16.496733001163588205
73303,19.618269375059682602
15,16.466666666666665008
267213,16.572711656992737516
79677,15.892704293585349084
177928,19.490007193921137229
169957,15.362727042722572612
138417,15.285225080734303304
34148,24.316299636874783018
164797,19.438636625666728008
29324,35.661471831946527366
307492,16.978737658215496963
88003,15.741167914730180399
199884,18.203127814132198381
54588,15.526580933538505213
119066,15.553659315001762131
284781,16.607561599966289556
153460,19.698462139971329776
393694,18.651203726752250133
458614,16.648902999036227612
422629,18.353302778559918095
217251,20.332265444117636477
317051,16.636553740565396708
64439,18.079129098837661615
394143,16.520694265786783461
47298,18.720432153579434242
76075,16.873164640157738425
11618,12.418746772249957821
203868,17.696225008338728912
24261,14.828448950991304222
1550,17.556774193548387863
79076,15.687376700895341308
199348,15.004424423621005146
177422,17.651706101836300177
100483,14.475602838291054652
116991,15.773521040080005661
235370,16.508437778816333896
46775,18.986809192944949842
309776,16.487323097980475239
316546,17.399411144035936693
112027,15.576245012363090225
117703,16.078111857811610008
139357,15.486950781087422512
36465,15.511860688331275959
163746,16.47647576123996771
86465,17.359047013242352441
403168,18.449480117469640561
308887,16.016964132514481811
25899,16.656125719139733831
32996,17.558340404897563757
119460,16.039159551314248197
156302,15.859214853296823122
245804,17.591259702852677371
75436,16.670833554271169418
210696,17.859983103618482402
130205,16.252102453822818262
95768,16.26066118118786985
4882,21.843506759524786708
22945,18.383046415341034673
204974,17.664625757413134898
63990,26.278934208470072775
187691,14.809767117229915456
24764,19.075593603618155924
50696,16.345313239703330054
101685,14.639986231990953058
184230,15.691315203821309509
229669,16.760315932929565896
119710,16.09657505638626862
325581,16.477844223096558273
67725,24.039896640826876605
80637,17.969344097622681033
10949,18.367704813224950299
26885,18.175674167751534326
301182,19.440301877270222519
103462,15.078009317430554503
92018,15.326892564498248994
202930,17.624545409747202739
181376,16.824822468242763839
37529,17.122571877747874147
44926,15.313537817744736102
18322,18.036458901866609494
172501,16.777995489881217139
105540,15.313947318552207477
483224,18.524887008923396791
170368,18.114786814425244187
24390,17.150963509635097636
222195,18.612137986903395159
110060,15.676267490459747655
78600,21.26706106870229096
240402,17.008123892480096372
13082,16.791010548845743954
77615,18.950666752560717753
77416,18.393626640487752865
82127,16.162504413895550925
253023,17.949237816324998817
264173,17.047597597029220395
1396,17.318051575931232122
2213,20.777225485765926649
7700,17.166753246753245321
215251,17.889909919117680914
60409,16.328278898839578836
222145,16.279087983074116863
78,28.435897435897432572
22583,16.949519550104059639
45161,15.84280684661544214
88734,16.371717718123828255
111876,17.168329221638241044
379636,16.297727296673656383
92770,16.575358413280156355
62147,23.438556969765231841
109207,16.021921671687710642
59334,16.116240266963290928
179901,17.361787872218609862
140613,15.855696130514247421
263540,16.678010928132351864
160556,19.099691073519519335
155583,16.237455248966790044
148675,16.050102572725744032
120382,17.217100563207125674
28603,16.876166835646611019
13165,17.707633877706037139
371924,16.419970208967424873
403255,17.507467979318295903
411519,19.646733200654161066
348791,18.023911167432647317
90845,16.63739336232043442
67987,18.477032373836173917
172245,16.257627217045489409
230141,17.669072438200927877
37672,16.881264599702696216
